Player,Last,First,rev.,college,DOB,link,position,draft_round,draft_overall,draft_year,year_last,career_yds,active
Ray Rice,Rice,Ray,"Rice, Ray",Rutgers,1/22/87,http://www.footballdb.com/players/ray-rice-ricera01,RB,2,55,2008,2015,6180,x
Stevan Ridley,Ridley,Stevan,"Ridley, Stevan",Louisiana State,1/27/89,http://www.footballdb.com/players/stevan-ridley-ridlest01,RB,3,73,2011,2015,2817,
John Riggins,Riggins,John,"Riggins, John",Kansas,8/4/49,http://www.footballdb.com/players/john-riggins-riggijo01,RB,1,6,1971,1985,11352,
Gerald Riggs,Riggs,Gerald,"Riggs, Gerald",Arizona State,11/6/60,http://www.footballdb.com/players/gerald-riggs-riggsge01,RB,1,9,1982,1991,8188,
Paul Robinson,Robinson,Paul,"Robinson, Paul",Arizona,12/19/44,http://www.footballdb.com/players/paul-robinson-robinpa02,RB,3,82,1968,1973,2947,
George Rogers,Rogers,George,"Rogers, George",South Carolina,12/8/58,http://www.footballdb.com/players/george-rogers-rogerge01,RB,1,1,1981,1987,7176,
Mike Rozier,Rozier,Mike,"Rozier, Mike",Nebraska,3/1/61,http://www.footballdb.com/players/mike-rozier-roziemi01,RB,1,2,1984,1991,4462,
Leonard Russell,Russell,Leonard,"Russell, Leonard",Arizona State,11/17/69,http://www.footballdb.com/players/leonard-russell-russele01,RB,1,14,1991,1996,3973,
Rashaan Salaam,Salaam,Rashaan,"Salaam, Rashaan",Colorado,10/8/74,http://www.footballdb.com/players/rashaan-salaam-salaara01,RB,1,21,1995,1999,1684,
Barry Sanders,Sanders,Barry,"Sanders, Barry",Oklahoma State,7/16/68,http://www.footballdb.com/players/barry-sanders-sandeba01,RB,1,3,1989,1998,15269,
Gale Sayers,Sayers,Gale,"Sayers, Gale",Kansas,5/30/43,http://www.footballdb.com/players/gale-sayers-sayerga01,RB,1,4,1965,1971,4956,
John Settle,Settle,John,"Settle, John",Appalachian State,6/2/65,http://www.footballdb.com/players/john-settle-settljo01,RB,,,1987,1990,1801,
O.J. Simpson,Simpson,O.J.,"Simpson, O.J.",Southern California,7/9/47,http://www.footballdb.com/players/oj-simpson-simpsoj01,RB,1,1,1969,1979,11236,
Billy Sims,Sims,Billy,"Sims, Billy",Oklahoma,9/18/55,http://www.footballdb.com/players/billy-sims-simsbi01,RB,1,1,1980,1984,5106,
Steve Slaton,Slaton,Steve,"Slaton, Steve",West Virginia,1/4/86,http://www.footballdb.com/players/steve-slaton-slatost01,RB,3,89,2008,2011,1896,
Antowain Smith,Smith,Antowain,"Smith, Antowain",Houston,3/14/72,http://www.footballdb.com/players/antowain-smith-smithan01,RB,1,23,1997,2005,6881,
Emmitt Smith,Smith,Emmitt,"Smith, Emmitt",Florida,5/15/69,http://www.footballdb.com/players/emmitt-smith-smithem01,RB,1,17,1990,2004,18355,
J.D. Smith,Smith,J.D.,"Smith, J.D.",North Carolina A&T,7/19/32,http://www.footballdb.com/players/jd-smith-smithjd01,RB,15,179,1955,1966,4672,
Lamar Smith,Smith,Lamar,"Smith, Lamar",Houston,11/29/70,http://www.footballdb.com/players/lamar-smith-smithla01,RB,3,73,1994,2003,4853,
Robert Smith,Smith,Robert,"Smith, Robert",Ohio State,3/4/72,http://www.footballdb.com/players/robert-smith-smithro01,RB,1,21,1993,2000,6818,
C.J. Spiller,Spiller,C.J.,"Spiller, C.J.",Clemson,8/5/87,http://www.footballdb.com/players/cj-spiller-spillcj02,RB,1,9,2010,2015,3321,x
Duce Staley,Staley,Duce,"Staley, Duce",South Carolina,2/27/75,http://www.footballdb.com/players/duce-staley-staledu01,RB,3,71,1997,2006,5785,
John Stephens,Stephens,John,"Stephens, John",Northwestern State,2/23/66,http://www.footballdb.com/players/john-stephens-stephjo01,RB,1,17,1988,1993,3440,
James Stewart,Stewart,James,"Stewart, James",Tennessee,12/27/71,http://www.footballdb.com/players/james-stewart-stewaja01,RB,1,19,1995,2003,5841,
Jonathan Stewart,Stewart,Jonathan,"Stewart, Jonathan",Oregon,3/21/87,http://www.footballdb.com/players/jonathan-stewart-stewajo02,RB,1,13,2008,2015,4881,x
Chester Taylor,Taylor,Chester,"Taylor, Chester",Toledo,9/22/79,http://www.footballdb.com/players/chester-taylor-tayloch01,RB,6,207,2002,2011,4740,
Fred Taylor,Taylor,Fred,"Taylor, Fred",Florida,1/27/76,http://www.footballdb.com/players/fred-taylor-taylofr01,RB,1,9,1998,2010,11695,
Jim Taylor,Taylor,Jim,"Taylor, Jim",Louisiana State,9/20/35,http://www.footballdb.com/players/jim-taylor-tayloji02,RB,2,15,1958,1967,8597,
Anthony Thomas,Thomas,Anthony,"Thomas, Anthony",Michigan,11/11/77,http://www.footballdb.com/players/anthony-thomas-thomaan01,RB,2,38,2001,2007,3891,
Mike Thomas,Thomas,Mike,"Thomas, Mike",Nevada-Las Vegas,7/17/53,http://www.footballdb.com/players/mike-thomas-thomami01,RB,5,108,1975,1980,4196,
Thurman Thomas,Thomas,Thurman,"Thomas, Thurman",Oklahoma State,5/16/66,http://www.footballdb.com/players/thurman-thomas-thomath01,RB,2,40,1988,2000,12074,
Charley Tolar,Tolar,Charley,"Tolar, Charley",Northwestern State,9/5/37,http://www.footballdb.com/players/charley-tolar-tolarch01,RB,27,319,1959,1966,3277,
LaDainian Tomlinson,Tomlinson,LaDainian,"Tomlinson, LaDainian",Texas Christian,6/23/79,http://www.footballdb.com/players/ladainian-tomlinson-tomlila01,RB,1,5,2001,2011,13684,
Michael Turner,Turner,Michael,"Turner, Michael",Northern Illinois,2/13/82,http://www.footballdb.com/players/michael-turner-turnemi02,RB,5,154,2004,2012,7338,
Wendell Tyler,Tyler,Wendell,"Tyler, Wendell",UCLA,5/20/55,http://www.footballdb.com/players/wendell-tyler-tylerwe01,RB,3,79,1977,1986,6378,
Steve Van Buren,Van Buren,Steve,"Van Buren, Steve",Louisiana State,12/28/20,http://www.footballdb.com/players/steve-van-buren-vanbust01,RB,1,5,1944,1951,5860,
Mark van Eeghen,van Eeghen,Mark,"van Eeghen, Mark",Colgate,4/19/52,http://www.footballdb.com/players/mark-van-eeghen-vaneema01,RB,3,75,1974,1983,6651,
Michael Vick,Vick,Michael,"Vick, Michael",Virginia Tech,6/26/80,http://www.footballdb.com/players/michael-vick-vickmi01,QB,1,1,2001,2015,6010,x
Herschel Walker,Walker,Herschel,"Walker, Herschel",Georgia,3/3/62,http://www.footballdb.com/players/herschel-walker-walkehe01,RB,5,114,1985,1997,8225,
Derrick Ward,Ward,Derrick,"Ward, Derrick",Ottawa (KS),8/30/80,http://www.footballdb.com/players/derrick-ward-wardde02,RB,7,235,2004,2011,2628,
Curt Warner,Warner,Curt,"Warner, Curt",Penn State,3/18/61,http://www.footballdb.com/players/curt-warner-warnecu01,RB,1,3,1983,1990,6844,
Chris Warren,Warren,Chris,"Warren, Chris",Ferrum,1/24/67,http://www.footballdb.com/players/chris-warren-warrech01,RB,4,89,1990,2000,7696,
Ricky Watters,Watters,Ricky,"Watters, Ricky",Notre Dame,4/7/69,http://www.footballdb.com/players/ricky-watters-watteri01,RB,2,45,1991,2001,10643,
Chris Wells,Wells,Chris,"Wells, Chris",Ohio State,8/7/88,http://www.footballdb.com/players/chris-wells-wellsch01,RB,1,31,2009,2012,2471,
Brian Westbrook,Westbrook,Brian,"Westbrook, Brian",Villanova,9/2/79,http://www.footballdb.com/players/brian-westbrook-westbbr02,RB,3,91,2002,2010,6335,
Tyrone Wheatley,Wheatley,Tyrone,"Wheatley, Tyrone",Michigan,1/19/72,http://www.footballdb.com/players/tyrone-wheatley-wheatty01,RB,1,17,1995,2004,4962,
Charles White,White,Charles,"White, Charles",Southern California,1/22/58,http://www.footballdb.com/players/charles-white-whitech02,RB,1,27,1980,1988,3075,
LenDale White,White,LenDale,"White, LenDale",Southern California,12/20/84,http://www.footballdb.com/players/lendale-white-whitele03,RB,2,45,2006,2010,2349,
Lorenzo White,White,Lorenzo,"White, Lorenzo",Michigan State,4/12/66,http://www.footballdb.com/players/lorenzo-white-whitelo01,RB,1,22,1988,1995,4242,
James Wilder,Wilder,James,"Wilder, James",Missouri,5/12/58,http://www.footballdb.com/players/james-wilder-wildeja01,RB,2,34,1981,1990,6008,
Carnell Williams,Williams,Carnell,"Williams, Carnell",Auburn,4/21/82,http://www.footballdb.com/players/carnell-williams-willica03,RB,1,5,2005,2011,4038,
DeAngelo Williams,Williams,DeAngelo,"Williams, DeAngelo",Memphis,4/25/83,http://www.footballdb.com/players/deangelo-williams-willide07,RB,1,27,2006,2015,6973,x
Delvin Williams,Williams,Delvin,"Williams, Delvin",Kansas,4/17/51,http://www.footballdb.com/players/delvin-williams-willide03,RB,2,49,1974,1981,5598,
Domanick Williams,Williams,Domanick,"Williams, Domanick",Louisiana State,10/1/80,http://www.footballdb.com/players/domanick-williams-davisdo02,RB,4,101,2003,2005,3195,
Harvey Williams,Williams,Harvey,"Williams, Harvey",Louisiana State,4/22/67,http://www.footballdb.com/players/harvey-williams-williha01,RB,1,21,1991,1998,3952,
Ricky Williams,Williams,Ricky,"Williams, Ricky",Texas,5/21/77,http://www.footballdb.com/players/ricky-williams-williri01,RB,1,5,1999,2011,10009,
Sammy Winder,Winder,Sammy,"Winder, Sammy",Southern Mississippi,7/15/59,http://www.footballdb.com/players/sammy-winder-windesa01,RB,5,131,1982,1990,5427,
Don Woods,Woods,Don,"Woods, Don",New Mexico,2/17/51,http://www.footballdb.com/players/don-woods-woodsdo01,RB,6,134,1974,1980,3087,
Ickey Woods,Woods,Ickey,"Woods, Ickey",Nevada-Las Vegas,2/28/66,http://www.footballdb.com/players/ickey-woods-woodsic01,RB,2,31,1988,1991,1525,
Barry Word,Word,Barry,"Word, Barry",Virginia,7/17/64,http://www.footballdb.com/players/barry-word-wordba01,RB,3,62,1986,1994,2897,
